Year,Country,Region,Gaming_Revenue_BillionUSD,Esports_Revenue_MillionUSD,Active_Players_Million,Esports_Viewers_Million,Avg_Spending_USD,Top_Genre,Top_Platform,Esports_Tournaments_Count,Pro_Players_Count,Internet_Penetration_Percent,Avg_Latency_ms,AR_VR_Adoption_Index,Streaming_Influence_Index,Covid_Impact_Index,Female_Gamer_Percent,Mobile_Gaming_Share,Esports_PrizePool_MillionUSD,Gaming_Companies_Count
2010,United States,North America,6.24,409.6,11.0,17.9,133.9,Strategy,Mobile,104,15912,82.5,95.4,0.13,0.1,0.0,13.0,20.0,34.0,395
2011,United States,North America,7.74,622.7,32.4,76.7,64.9,Sports,Console,63,13797,70.5,83.9,0.08,0.16,0.0,10.7,23.0,10.2,60
2012,United States,North America,9.6,928.3,51.9,148.4,84.1,MOBA,Mobile,22,3982,63.7,32.3,0.11,0.22,0.0,13.3,26.0,8.5,349
2013,United States,North America,11.91,1321.8,50.3,92.9,76.9,MOBA,Mobile,54,8262,51.4,88.2,0.14,0.28,0.0,12.8,29.0,18.3,53
2014,United States,North America,14.77,869.1,13.4,21.3,69.0,Strategy,Mobile,84,24024,93.4,70.5,0.14,0.34,0.0,17.0,32.0,18.3,50
2015,United States,North America,18.31,944.4,26.6,60.8,65.2,RPG,Console,67,12596,84.7,30.6,0.06,0.4,0.0,17.3,35.0,13.4,240
2016,United States,North America,22.71,3066.3,28.1,47.5,74.5,Sports,Mobile,66,17490,89.9,60.4,0.21,0.46,0.0,20.5,38.0,20.9,110
2017,United States,North America,28.17,2129.6,4.3,12.7,43.3,FPS,PC,81,18468,72.9,93.1,0.21,0.52,0.0,23.2,41.0,12.8,416
2018,United States,North America,34.93,2455.8,56.7,152.9,113.4,FPS,PC,32,3680,89.2,85.3,0.38,0.58,0.0,27.9,44.0,9.8,53
2019,United States,North America,43.32,3571.0,9.1,20.1,138.8,FPS,PC,5,850,88.7,25.5,0.47,0.64,0.0,24.6,47.0,1.6,465
2020,United States,North America,53.72,4133.4,16.2,29.7,56.3,FPS,Mobile,92,25944,93.3,43.9,0.6,1.11,0.41,26.4,50.0,23.1,395
2021,United States,North America,66.62,5630.1,38.8,111.0,93.7,Sports,Console,94,19646,84.3,42.8,0.56,1.24,0.48,28.2,53.0,27.1,264
2022,United States,North America,82.62,12256.3,25.1,78.7,125.8,Strategy,Console,77,13321,76.6,75.8,0.65,0.82,0.0,32.8,56.0,21.3,412
2023,United States,North America,102.46,8695.6,7.6,25.6,77.7,RPG,PC,43,5633,55.1,94.4,0.78,0.88,0.0,32.9,59.0,15.5,487
2024,United States,North America,127.07,8576.5,59.0,149.4,61.3,Strategy,PC,5,485,89.7,39.2,0.77,0.94,0.0,34.8,62.0,2.0,242
2025,United States,North America,157.58,22016.0,53.5,163.5,107.0,Sports,Mobile,79,12798,50.4,32.6,0.96,1.0,0.0,33.3,65.0,15.0,108
2010,China,Asia,14.63,1387.7,59.7,110.5,32.2,RPG,PC,18,1260,63.9,65.7,0.09,0.1,0.0,6.1,20.0,3.5,452
2011,China,Asia,16.19,1204.8,58.4,133.6,137.0,FPS,Console,31,2356,72.2,39.6,0.03,0.16,0.0,10.1,23.0,10.8,326
2012,China,Asia,17.92,2273.6,4.5,15.8,86.4,Sports,PC,50,8300,92.9,49.8,0.24,0.22,0.0,13.3,26.0,18.5,311
2013,China,Asia,19.84,1755.8,51.4,109.6,50.3,MOBA,Console,29,8207,75.7,32.3,0.08,0.28,0.0,16.6,29.0,11.1,297
2014,China,Asia,21.96,1655.8,19.1,41.0,131.8,Strategy,Mobile,13,1196,86.4,85.8,0.04,0.34,0.0,19.4,32.0,4.3,418
2015,China,Asia,24.3,1227.6,38.4,72.6,38.5,RPG,Console,114,22002,51.2,68.4,0.06,0.4,0.0,18.7,35.0,18.5,297
2016,China,Asia,26.89,2596.9,33.5,69.4,100.9,RPG,PC,90,8820,73.5,82.7,0.16,0.46,0.0,20.2,38.0,14.3,117
2017,China,Asia,29.77,1642.1,32.8,84.7,106.5,Sports,Mobile,56,10808,64.5,84.6,0.22,0.52,0.0,22.1,41.0,22.1,328
2018,China,Asia,32.94,2473.7,12.7,21.1,81.4,MOBA,PC,16,4704,69.9,43.0,0.42,0.58,0.0,22.5,44.0,2.6,127
2019,China,Asia,36.46,2843.9,57.4,170.8,96.5,Sports,Mobile,26,3692,66.0,81.8,0.47,0.64,0.0,27.5,47.0,6.6,194
2020,China,Asia,40.36,3415.4,29.0,81.0,35.8,MOBA,Mobile,73,10877,92.0,62.6,0.53,1.04,0.34,27.9,50.0,11.8,334
2021,China,Asia,44.67,6450.9,52.3,145.0,126.1,FPS,PC,16,3632,86.5,86.5,0.61,1.23,0.47,28.6,53.0,4.7,277
2022,China,Asia,49.44,6947.4,13.4,21.9,42.1,FPS,Mobile,6,1752,64.4,88.4,0.68,0.82,0.0,29.8,56.0,1.8,99
2023,China,Asia,54.71,5449.8,42.2,92.7,142.4,FPS,Mobile,40,10640,69.1,67.6,0.68,0.88,0.0,30.0,59.0,14.0,236
2024,China,Asia,60.56,5280.7,47.0,102.6,141.7,Strategy,Console,41,2501,84.0,32.7,0.82,0.94,0.0,33.6,62.0,10.5,282
2025,China,Asia,67.02,5962.5,19.3,32.7,36.4,FPS,Console,65,18330,93.1,75.8,0.88,1.0,0.0,41.5,65.0,23.5,61
2010,Japan,Asia,9.03,748.1,41.0,123.2,125.0,MOBA,Mobile,61,5368,52.6,66.2,0.01,0.1,0.0,9.1,20.0,10.5,142
2011,Japan,Asia,10.62,1280.6,58.2,167.3,130.4,Strategy,Mobile,21,5859,67.8,91.9,0.12,0.16,0.0,15.0,23.0,3.6,203
2012,Japan,Asia,12.49,1808.1,59.2,178.0,75.2,RPG,Mobile,35,2380,90.8,33.3,0.16,0.22,0.0,12.4,26.0,12.1,460
2013,Japan,Asia,14.7,1574.7,45.0,136.5,128.7,Sports,Mobile,43,2150,68.0,60.8,0.07,0.28,0.0,12.0,29.0,13.8,418
2014,Japan,Asia,17.29,2529.8,2.7,9.3,35.2,RPG,PC,25,3225,61.4,77.2,0.08,0.34,0.0,17.6,32.0,7.0,450
2015,Japan,Asia,20.34,2431.9,28.4,78.1,100.1,Sports,Mobile,20,5280,92.8,91.8,0.21,0.4,0.0,19.1,35.0,3.2,469
2016,Japan,Asia,23.93,1602.2,39.5,90.0,57.5,Sports,Console,32,8608,81.4,65.2,0.16,0.46,0.0,18.5,38.0,7.7,426
2017,Japan,Asia,28.14,2169.8,9.7,16.1,142.9,MOBA,Mobile,119,29274,92.0,90.0,0.35,0.52,0.0,18.7,41.0,36.1,374
2018,Japan,Asia,33.11,4230.0,29.9,103.6,75.2,RPG,Console,30,3360,75.6,29.8,0.32,0.58,0.0,21.0,44.0,7.4,114
2019,Japan,Asia,38.95,2167.0,52.2,163.0,150.0,Strategy,PC,106,5512,92.5,88.7,0.34,0.64,0.0,23.8,47.0,30.6,154
2020,Japan,Asia,45.82,3549.6,14.0,45.7,120.8,MOBA,Mobile,38,5358,73.4,82.9,0.47,1.0,0.3,25.1,50.0,8.3,388
2021,Japan,Asia,53.9,4961.5,47.5,132.0,126.6,MOBA,Mobile,107,23005,77.4,72.7,0.55,1.08,0.32,33.4,53.0,32.6,344
2022,Japan,Asia,63.4,5378.2,31.8,97.6,77.6,Strategy,Mobile,110,11000,91.7,61.9,0.7,0.82,0.0,29.7,56.0,35.7,349
2023,Japan,Asia,74.59,7403.5,21.1,58.3,58.8,RPG,Mobile,119,19040,81.4,38.5,0.76,0.88,0.0,31.6,59.0,21.7,397
2024,Japan,Asia,87.74,8545.6,40.7,75.1,53.1,Sports,Mobile,23,1610,58.0,31.7,0.86,0.94,0.0,32.8,62.0,4.4,10
2025,Japan,Asia,103.21,14390.4,9.5,20.5,68.6,RPG,Console,30,8940,67.0,25.2,0.79,1.0,0.0,36.0,65.0,8.1,301
2010,South Korea,Asia,12.29,1069.5,30.1,82.4,74.3,RPG,Console,92,16468,82.1,92.1,0.07,0.1,0.0,8.8,20.0,31.0,247
2011,South Korea,Asia,14.74,1322.4,8.1,24.0,51.9,MOBA,Mobile,43,10062,55.4,91.8,0.08,0.16,0.0,13.5,23.0,15.5,221
2012,South Korea,Asia,17.68,2031.4,29.8,79.6,118.4,Sports,Console,115,6555,67.0,50.3,-0.01,0.22,0.0,12.6,26.0,34.1,189
2013,South Korea,Asia,21.21,1816.1,59.2,160.6,58.5,Sports,Mobile,26,1820,58.4,46.4,0.15,0.28,0.0,18.8,29.0,4.9,104
2014,South Korea,Asia,25.45,3607.0,2.3,8.0,88.9,MOBA,Console,106,24168,74.1,60.7,0.11,0.34,0.0,18.5,32.0,37.7,182
2015,South Korea,Asia,30.53,2514.6,26.7,67.1,59.1,Strategy,Mobile,51,2550,56.9,61.1,0.07,0.4,0.0,19.5,35.0,15.4,268
2016,South Korea,Asia,36.62,2323.5,5.7,19.8,68.7,Strategy,PC,6,798,84.2,69.7,0.17,0.46,0.0,19.2,38.0,1.3,417
2017,South Korea,Asia,43.94,2665.6,51.3,153.6,79.0,RPG,Console,79,14694,91.7,79.1,0.32,0.52,0.0,22.6,41.0,15.9,69
2018,South Korea,Asia,52.71,6827.2,13.7,25.0,49.7,MOBA,Mobile,9,1188,66.1,90.8,0.33,0.58,0.0,23.6,44.0,2.8,98
2019,South Korea,Asia,63.23,7675.0,54.2,148.9,94.8,FPS,PC,67,12864,67.6,64.9,0.39,0.64,0.0,28.8,47.0,19.7,318
2020,South Korea,Asia,75.86,10922.0,38.4,83.3,46.7,Sports,Mobile,19,3040,90.2,84.1,0.46,1.26,0.56,27.2,50.0,5.8,47
2021,South Korea,Asia,91.0,5852.5,13.9,40.6,89.3,Strategy,Console,78,11388,67.0,59.3,0.63,1.26,0.5,29.8,53.0,13.7,445
2022,South Korea,Asia,109.17,7095.1,15.3,45.0,116.4,Sports,Mobile,99,16236,61.3,50.9,0.72,0.82,0.0,29.1,56.0,32.0,20
2023,South Korea,Asia,130.97,9525.8,26.6,55.2,103.8,MOBA,PC,94,17860,61.5,79.5,0.73,0.88,0.0,32.3,59.0,17.4,180
2024,South Korea,Asia,157.11,18801.0,55.5,161.8,48.3,RPG,PC,96,7680,54.7,88.0,0.83,0.94,0.0,34.8,62.0,29.0,276
2025,South Korea,Asia,188.48,27986.5,50.7,88.6,140.5,Strategy,Console,67,15477,52.5,50.1,0.85,1.0,0.0,34.7,65.0,18.7,445
2010,Germany,Europe,12.03,1640.2,55.5,135.0,87.7,RPG,Console,95,6270,56.3,38.2,0.09,0.1,0.0,8.1,20.0,28.2,464
2011,Germany,Europe,14.08,1095.1,14.8,28.4,91.8,Sports,Mobile,85,11305,88.7,65.1,0.15,0.16,0.0,10.3,23.0,22.5,369
2012,Germany,Europe,16.49,935.0,45.5,87.3,137.8,Strategy,PC,36,7452,71.2,67.4,0.23,0.22,0.0,13.5,26.0,7.1,27
2013,Germany,Europe,19.3,1983.6,33.0,81.2,89.6,Strategy,Console,55,6160,92.6,53.0,0.15,0.28,0.0,13.0,29.0,9.7,467
2014,Germany,Europe,22.6,2939.5,58.8,186.9,134.0,RPG,Console,12,1368,80.2,26.5,0.1,0.34,0.0,18.6,32.0,3.5,63
2015,Germany,Europe,26.46,3670.8,34.3,100.9,126.6,RPG,PC,92,11684,56.3,55.5,0.14,0.4,0.0,14.6,35.0,27.7,320
2016,Germany,Europe,30.97,4313.7,49.4,107.9,61.1,Sports,PC,6,1464,65.5,83.0,0.1,0.46,0.0,23.5,38.0,1.8,402
2017,Germany,Europe,36.26,5252.6,46.3,82.4,134.2,FPS,Mobile,63,18081,51.0,45.2,0.17,0.52,0.0,20.6,41.0,16.9,49
2018,Germany,Europe,42.45,3048.4,39.4,92.4,45.9,Strategy,Console,33,5214,87.0,64.7,0.3,0.58,0.0,26.6,44.0,10.7,51
2019,Germany,Europe,49.7,5239.7,39.8,125.7,54.8,FPS,Console,110,14850,89.3,69.8,0.34,0.64,0.0,26.1,47.0,20.3,277
2020,Germany,Europe,58.19,7786.5,25.5,77.4,80.6,RPG,PC,6,618,77.1,43.4,0.64,1.15,0.45,26.2,50.0,2.0,158
2021,Germany,Europe,68.13,8321.8,37.4,127.1,77.6,FPS,Mobile,28,8260,51.4,44.7,0.62,1.29,0.53,28.1,53.0,5.1,236
2022,Germany,Europe,79.76,11606.7,11.0,30.1,86.9,FPS,PC,77,19250,81.7,69.9,0.67,0.82,0.0,30.5,56.0,18.3,34
2023,Germany,Europe,93.38,12133.5,42.3,86.5,100.8,RPG,PC,23,3450,56.2,96.3,0.78,0.88,0.0,30.5,59.0,4.0,320
2024,Germany,Europe,109.32,15940.8,46.0,127.7,121.1,FPS,Mobile,105,17535,72.0,41.6,0.78,0.94,0.0,33.4,62.0,32.5,419
2025,Germany,Europe,127.99,6964.6,36.1,126.4,96.7,Strategy,Console,90,26910,63.4,94.3,0.91,1.0,0.0,34.2,65.0,20.5,324
2010,UK,Europe,14.22,1164.7,50.1,78.8,101.6,MOBA,Console,103,16171,81.3,50.5,0.1,0.1,0.0,10.1,20.0,18.6,192
2011,UK,Europe,16.28,2122.8,33.2,93.8,118.5,Sports,Mobile,37,2405,68.8,59.6,0.17,0.16,0.0,7.9,23.0,9.5,43
2012,UK,Europe,18.64,2420.6,59.9,131.8,122.1,FPS,Console,97,10767,67.9,31.9,0.14,0.22,0.0,13.4,26.0,26.2,368
2013,UK,Europe,21.34,1074.0,29.1,60.9,132.3,FPS,PC,22,5258,94.4,57.1,0.19,0.28,0.0,15.3,29.0,6.5,314
2014,UK,Europe,24.43,3557.6,48.3,97.4,100.6,RPG,Mobile,43,10019,77.6,37.5,0.05,0.34,0.0,16.1,32.0,16.0,61
2015,UK,Europe,27.97,3741.3,15.4,48.6,44.4,FPS,PC,111,30525,93.1,87.0,0.09,0.4,0.0,17.0,35.0,27.3,14
2016,UK,Europe,32.02,3829.2,10.9,34.2,56.9,Strategy,Mobile,115,15870,70.6,54.3,0.25,0.46,0.0,18.9,38.0,34.3,132
2017,UK,Europe,36.65,3851.7,7.0,16.3,74.7,MOBA,Mobile,76,13832,93.3,33.2,0.29,0.52,0.0,23.8,41.0,12.3,293
2018,UK,Europe,41.96,4584.0,49.8,109.4,111.4,RPG,PC,95,24130,57.1,37.0,0.17,0.58,0.0,21.6,44.0,20.6,278
2019,UK,Europe,48.04,5669.4,37.9,113.8,49.0,RPG,Console,111,10434,87.2,34.7,0.45,0.64,0.0,26.7,47.0,40.8,372
2020,UK,Europe,55.0,4172.7,13.2,22.0,69.2,MOBA,PC,109,7194,85.1,33.0,0.58,0.99,0.29,27.4,50.0,19.5,423
2021,UK,Europe,62.96,5617.4,12.4,37.3,124.7,Sports,Console,24,3480,57.5,82.8,0.64,0.97,0.21,27.9,53.0,8.2,410
2022,UK,Europe,72.08,8080.1,4.7,15.1,146.8,RPG,PC,33,8349,67.3,29.9,0.57,0.82,0.0,31.9,56.0,11.1,42
2023,UK,Europe,82.53,10484.1,41.6,99.6,62.8,Strategy,PC,33,1749,57.4,84.6,0.73,0.88,0.0,27.6,59.0,8.5,166
2024,UK,Europe,94.48,12025.5,15.3,27.0,134.2,Strategy,Console,112,26096,68.9,72.9,0.86,0.94,0.0,32.3,62.0,28.9,271
2025,UK,Europe,108.16,8782.3,20.6,60.8,119.5,Sports,Mobile,39,4407,88.9,60.5,0.88,1.0,0.0,38.1,65.0,14.3,81
2010,France,Europe,3.23,167.2,48.2,100.7,139.4,FPS,Mobile,7,1379,55.3,34.4,0.18,0.1,0.0,5.0,20.0,2.4,245
2011,France,Europe,3.52,255.6,11.3,31.8,69.1,Strategy,PC,6,822,50.5,30.4,0.12,0.16,0.0,8.5,23.0,1.5,329
2012,France,Europe,3.84,469.5,40.1,120.9,144.3,RPG,PC,45,8325,60.9,99.0,0.12,0.22,0.0,13.2,26.0,14.9,169
2013,France,Europe,4.19,297.7,22.1,67.3,142.9,FPS,PC,101,5151,53.7,86.8,0.1,0.28,0.0,14.2,29.0,28.6,163
2014,France,Europe,4.57,488.0,42.0,130.2,54.0,Strategy,Console,48,4704,90.3,69.6,0.05,0.34,0.0,16.1,32.0,18.6,82
2015,France,Europe,4.99,602.8,52.5,153.8,126.2,RPG,Mobile,66,10560,86.8,58.9,0.1,0.4,0.0,17.0,35.0,23.3,12
2016,France,Europe,5.44,594.5,39.7,97.6,103.9,Strategy,PC,23,2392,85.5,74.4,0.26,0.46,0.0,19.1,38.0,6.2,316
2017,France,Europe,5.93,618.4,30.6,50.9,78.4,FPS,Console,65,9230,70.8,90.1,0.19,0.52,0.0,24.1,41.0,16.5,168
2018,France,Europe,6.47,730.3,44.7,135.5,90.6,FPS,Mobile,54,12204,82.6,61.5,0.4,0.58,0.0,22.8,44.0,15.0,75
2019,France,Europe,7.06,815.1,59.5,123.1,73.1,Strategy,Console,7,2002,60.6,83.2,0.49,0.64,0.0,25.9,47.0,1.9,109
2020,France,Europe,7.7,1132.6,12.5,40.1,89.1,FPS,Mobile,66,19470,54.3,73.9,0.47,1.26,0.56,25.3,50.0,24.3,354
2021,France,Europe,8.4,692.8,46.9,82.6,146.4,RPG,Mobile,51,4080,57.6,64.0,0.62,1.35,0.59,25.8,53.0,10.7,275
2022,France,Europe,9.16,869.5,36.1,122.6,60.3,Strategy,Console,88,6776,79.9,60.6,0.62,0.82,0.0,30.8,56.0,14.0,129
2023,France,Europe,9.99,1366.7,13.9,24.0,62.4,Sports,Mobile,6,1500,51.8,34.2,0.76,0.88,0.0,34.3,59.0,1.7,207
2024,France,Europe,10.89,1294.5,25.0,61.6,112.3,FPS,Console,102,27132,70.5,63.7,0.83,0.94,0.0,31.5,62.0,31.6,187
2025,France,Europe,11.88,743.6,9.7,17.3,142.8,Strategy,Mobile,12,3492,89.1,38.3,0.92,1.0,0.0,30.8,65.0,2.4,299
2010,Brazil,South America,10.26,763.7,50.2,162.1,122.2,Sports,PC,95,11495,77.0,95.6,0.09,0.1,0.0,9.9,20.0,33.1,151
2011,Brazil,South America,12.78,775.5,40.2,140.5,35.8,Strategy,PC,77,16170,54.1,46.7,0.18,0.16,0.0,9.4,23.0,19.4,468
2012,Brazil,South America,15.93,1317.2,40.7,126.9,121.5,RPG,PC,109,7848,55.4,65.8,0.09,0.22,0.0,15.3,26.0,28.2,98
2013,Brazil,South America,19.84,2201.9,34.7,78.4,95.8,RPG,Mobile,37,3626,53.3,70.3,0.16,0.28,0.0,12.1,29.0,10.6,119
2014,Brazil,South America,24.71,2472.6,33.5,113.9,131.7,FPS,PC,32,5312,67.9,68.5,0.16,0.34,0.0,18.1,32.0,11.3,309
2015,Brazil,South America,30.79,3230.9,45.3,132.8,92.5,Strategy,Console,25,5000,61.0,94.5,-0.02,0.4,0.0,17.3,35.0,6.4,280
2016,Brazil,South America,38.35,2663.9,11.6,31.9,92.8,Sports,Console,114,8664,76.1,31.7,0.18,0.46,0.0,17.2,38.0,43.6,167
2017,Brazil,South America,47.78,4364.7,9.1,16.9,111.7,FPS,Mobile,78,6864,58.3,93.8,0.21,0.52,0.0,23.5,41.0,21.9,93
2018,Brazil,South America,59.52,6250.7,4.5,12.5,144.2,Sports,PC,26,4342,85.7,73.5,0.41,0.58,0.0,23.2,44.0,7.2,481
2019,Brazil,South America,74.14,10380.2,22.5,44.4,123.7,Sports,Console,54,10854,80.0,32.2,0.48,0.64,0.0,24.4,47.0,19.2,173
2020,Brazil,South America,92.36,6790.8,52.4,128.2,94.2,RPG,Console,26,5850,74.6,42.4,0.44,0.96,0.26,26.2,50.0,5.9,87
2021,Brazil,South America,115.06,13529.0,27.7,66.2,116.9,RPG,Mobile,79,22120,65.2,92.9,0.61,1.21,0.45,25.2,53.0,18.6,118
2022,Brazil,South America,143.33,12254.7,6.0,15.3,38.1,Strategy,Mobile,9,1989,76.7,76.0,0.6,0.82,0.0,28.6,56.0,1.9,309
2023,Brazil,South America,178.55,20881.3,59.7,168.5,96.9,Sports,Mobile,102,26928,93.1,38.1,0.68,0.88,0.0,29.2,59.0,27.2,296
2024,Brazil,South America,222.43,20229.1,26.5,83.4,30.1,RPG,Mobile,20,3780,60.6,54.9,0.79,0.94,0.0,34.4,62.0,7.9,113
2025,Brazil,South America,277.08,32461.7,7.4,14.9,124.5,Sports,Mobile,36,7560,57.2,29.7,0.86,1.0,0.0,36.6,65.0,10.9,301
2010,Turkey,Middle East,5.24,753.5,34.1,72.0,77.6,RPG,Mobile,27,5481,72.4,99.4,0.06,0.1,0.0,9.5,20.0,8.1,110
2011,Turkey,Middle East,5.78,518.7,33.3,91.8,110.9,RPG,Console,110,22770,63.7,31.1,0.1,0.16,0.0,6.7,23.0,36.3,414
2012,Turkey,Middle East,6.38,685.4,29.8,63.4,102.8,Strategy,Console,69,10971,92.9,86.9,0.14,0.22,0.0,13.6,26.0,25.8,150
